city,community_name,district,subdistrict,road,nearby,price,price_yuan,original_price,price_change,secondhand_count,rent_count,year_built,fetch_date,detail_links,longitude,latitude,synthetic
济南,绿地IFC中央公馆B7地块,2023历下,CBD,齐音路,"近地铁,近学校,二环绕城高速之间,次新小区",2.5581,25581,25581 元/m²,0.28%,5,21,2023,2026-05-27,二手房(5) | 租房(21) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.104314,36.669668,0
济南,开元府,2011历下,环山路,燕子山西路50号,"近地铁,近学校,二环以内,大户型居多,配套齐全",5.2169,52169,52169 元/m²,1.04%,14,0,2011,2026-05-27,二手房(14) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.057621,36.64063,0
济南,城投逸山府,历城,雪山,将山北街,"近地铁,近学校",1.8492,18492,18492 元/m²,0.57%,7,1,,2026-05-27,二手房(7) | 租房(1) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.185169,36.701895,0
济南,城投东城逸家,2016高新,汉峪,奥北路与舜贤路交汇处（东城逸家中学东临）,"近地铁,近学校,轨交房,大阳台,双阳台,主卧套房,卧室全朝南,学校,购物中心,大户型,厨卫全明,南北通透",2.35,23500,23500 元/m²,持平,3,0,2016,2026-05-27,二手房(3) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.14682,36.650045,0
济南,华润仰山云栖径(别墅),2018市中,阳光舜城,二环东路,"近地铁,近学校,二环以内,大户型居多,户型丰富,别墅",5.5694,55694,55694 元/m²,6.02%,29,8,2018,2026-05-27,二手房(29) | 租房(8) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.04573,36.610817,0
济南,杉槁园,历下,泉城路,趵突泉南路6号,"近地铁,近学校",2.29,22900,22900 元/m²,持平,0,0,,2026-05-27,二手房(0) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.120128,36.652069,0
济南,金科琼华九璋(新房),2022历下,奥体中心,旅游路与凤凰路交汇处南行800米路东,"近地铁,近学校,低容积,高绿化率,双厨房,大阳台,双阳台,主卧套房,卧室全朝南,大户型,厨卫全明,南北通透",3.6,36000,36000 元/m²,持平,0,0,2022,2026-05-27,二手房(0) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,,,0
济南,胜利大街1-16号小区,1992市中,杆石桥,胜利大街1-16号,"近地铁,近学校,二环以内,小户型居多,户型丰富,配套齐全",3.2238,32238,32238 元/m²,0.03%,44,11,1992,2026-05-29,二手房(44) | 租房(11) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.00483,36.656929,0
济南,大华紫郡(三区别墅),历下,全运村,龙腾路,"近地铁,近学校,二环绕城高速之间,大户型居多,别墅",5.5696,55696,55696 元/m²,3.44%,5,0,,2026-05-27,二手房(5) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.109456,36.61724,0
济南,黄金山水郡八区(别墅),2014历下,浆水泉路,旅游路,"近地铁,近学校,二环绕城高速之间,大户型居多,别墅,配套齐全",5.4607,54607,54607 元/m²,4.43%,3,0,2014,2026-05-27,二手房(3) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.071564,36.631954,0
济南,璟园璟仕府,2021历下,长岭山,"兴港路,近凤山路","近地铁,近学校,二环绕城高速之间,次新小区",2.0178,20178,20178 元/m²,0.08%,19,11,2021,2026-05-27,二手房(19) | 租房(11) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.162326,36.67376,0
济南,JFC星辰,2027历下,转山西路,经十路与转山西路交汇处以东,"近地铁,近学校,多轨交,轨交房,车位充足,主卧套房,装修交付,卧室全朝南,学校,购物中心,大户型,厨卫全明,南北通透",5.0,50000,50000 元/m²,持平,4,0,2027,2026-05-27,二手房(4) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.104676,36.657476,0
济南,海尔绿城全运村玺园,2015历下,全运村,百合东路,"近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,绿化好",11.6451,116451,116451 元/m²,0.15%,4,1,2015,2026-05-27,二手房(4) | 租房(1) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.13056,36.633944,0
济南,原山九号,2015历下,旅游路,"旅游路,近洪山路","近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,绿化好,配套齐全",5.4313,54313,54313 元/m²,持平,2,2,2015,2026-05-27,二手房(2) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.055974,36.660359,0
济南,省石化厅宿舍,2000市中,经四万达,永庆街18号,"近地铁,近学校,二环以内,小户型居多,配套齐全",2.6703,26703,26703 元/m²,4.87%,4,2,2000,2026-05-27,二手房(4) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,116.975151,36.650885,0
济南,东青龙街小区,1995历下,泉城路,东青龙街,"近地铁,近学校,二环以内,配套齐全",2.7884,27884,27884 元/m²,持平,4,7,1995,2026-05-29,二手房(4) | 租房(7) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.035313,36.663673,0
济南,济高保利云上璟誉,2026历下,康虹路,工业南路与开拓路交汇处东北,"近地铁,近学校,一房一价,轨交房,主卧套房,装修交付,卧室全朝南,学校,购物中心,大户型,厨卫全明,南北通透,人气榜,热搜榜",3.0,30000,30000 元/m²,持平,3,0,2026,2026-05-27,二手房(3) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.138699,36.690025,0
济南,华润仰山云栖径(别墅),2018市中,阳光舜城,二环东路,"近地铁,近学校,二环以内,大户型居多,户型丰富,别墅",5.5694,55694,55694 元/m²,6.02%,29,8,2018,2026-05-27,二手房(29) | 租房(8) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.04573,36.610817,0
济南,历山东路36号院,历下,山大南路,历山东路36号,"近地铁,近学校,二环以内,配套齐全",2.0361,20361,20361 元/m²,5.53%,2,7,,2026-05-27,二手房(2) | 租房(7) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.050766,36.670789,0
济南,复兴大街4号小区,市中,经四万达,复兴大街4号,"近地铁,近学校,小户型居多",3.2608,32608,32608 元/m²,9.34%,7,2,,2026-05-29,二手房(7) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.003853,36.655218,0
济南,华润仰山云栖径(别墅),2018市中,阳光舜城,二环东路,"近地铁,近学校,二环以内,大户型居多,户型丰富,别墅",5.5694,55694,55694 元/m²,6.02%,29,8,2018,2026-05-27,二手房(29) | 租房(8) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.04573,36.610817,0
济南,明湖七院,1998历下,泉城路,大明湖路,"近地铁,近学校,二环以内,别墅,配套齐全",5.49,54900,54900 元/m²,持平,0,2,1998,2026-05-27,二手房(0) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.033564,36.67305,0
济南,原山九号,2015历下,旅游路,"旅游路,近洪山路","近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,绿化好,配套齐全",5.4313,54313,54313 元/m²,持平,2,2,2015,2026-05-27,二手房(2) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.055974,36.660359,0
济南,三箭吉祥苑,2003历下,文化东路,文化东路29号,"近地铁,近学校,二环以内,大户型居多,户型丰富,配套齐全",2.3338,23338,23338 元/m²,2.15%,39,40,2003,2026-05-27,二手房(39) | 租房(40) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.069353,36.65673,0
济南,JFC星辰,2027历下,转山西路,经十路与转山西路交汇处以东,"近地铁,近学校,多轨交,轨交房,车位充足,主卧套房,装修交付,卧室全朝南,学校,购物中心,大户型,厨卫全明,南北通透",5.0,50000,50000 元/m²,持平,4,0,2027,2026-05-27,二手房(4) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.104676,36.657476,0
济南,开元府,2011历下,环山路,燕子山西路50号,"近地铁,近学校,二环以内,大户型居多,配套齐全",5.2169,52169,52169 元/m²,1.04%,14,0,2011,2026-05-27,二手房(14) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.057621,36.64063,0
济南,浪潮玺园别墅,2013历下,奥体中心,奥体东路,"近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,配套齐全",5.3333,53333,53333 元/m²,持平,1,0,2013,2026-05-27,二手房(1) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.13119,36.648728,0
济南,国华印象山语墅(别墅),2013高新,经十路高新段,凤凰路3977号,"近地铁,近学校,二环绕城高速之间,大户型居多,别墅,配套齐全",6.0377,60377,60377 元/m²,16.47%,5,1,2013,2026-05-27,二手房(5) | 租房(1) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.146903,36.672502,0
济南,鲁能领秀城漫山香墅西二区(二十一区),2003市中,鲁能领秀城,舜耕路,"近地铁,近学校,二环绕城高速之间,大户型居多,别墅,绿化好,配套齐全",5.2105,52105,52105 元/m²,0.09%,12,2,2003,2026-05-27,二手房(12) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.013081,36.584262,0
济南,海尔绿城全运村麗园,2018历下,全运村,百合东路,"近地铁,近学校,3号线(R3)等,二环绕城高速之间,大户型居多,绿化好,配套齐全",5.6393,56393,56393 元/m²,0.57%,20,12,2018,2026-05-27,二手房(20) | 租房(12) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.127695,36.637337,0
济南,鲁能领秀城漫山香墅西二区(二十一区),2003市中,鲁能领秀城,舜耕路,"近地铁,近学校,二环绕城高速之间,大户型居多,别墅,绿化好,配套齐全",5.2105,52105,52105 元/m²,0.09%,12,2,2003,2026-05-27,二手房(12) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.013081,36.584262,0
济南,名悦山庄(别墅),2019历下,旅游路,旅游路,"近地铁,近学校,3号线(R3)等,二环绕城高速之间,大户型居多,户型丰富,别墅,绿化好,配套齐全",6.3276,63276,63276 元/m²,0.02%,11,5,2019,2026-05-27,二手房(11) | 租房(5) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.113302,36.643019,0
济南,中信泰富九庐(东区),2023历下,CBD,姚家路,"近地铁,近学校,大户型居多,次新小区",3.5028,35028,35028 元/m²,5.37%,14,8,2023,2026-05-27,二手房(14) | 租房(8) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.096279,36.661151,0
济南,泰禾济南院子(别墅),2020高新,汉峪,"凤凰南路,近旅游路","近地铁,近学校,二环绕城高速之间,大户型居多,别墅,绿化好",5.623,56230,56230 元/m²,9.45%,2,3,2020,2026-05-27,二手房(2) | 租房(3) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.153977,36.636351,0
济南,开元府,2011历下,环山路,燕子山西路50号,"近地铁,近学校,二环以内,大户型居多,配套齐全",5.2169,52169,52169 元/m²,1.04%,14,0,2011,2026-05-27,二手房(14) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.057621,36.64063,0
济南,鞭指巷93号院,历下,泉城路,鞭指巷93号,"近地铁,近学校,二环以内",2.55,25500,25500 元/m²,持平,0,0,,2026-05-29,二手房(0) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.019614,36.665234,0
济南,绿地IFC中央公馆B6地块,历下,CBD,齐音路,"近地铁,近学校,二环绕城高速之间,大户型居多",3.1421,31421,31421 元/m²,2.97%,14,4,,2026-05-27,二手房(14) | 租房(4) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.108584,36.670768,0
济南,舜兴花园(1-7号楼),2009历下,旅游路,旅游路21717号,"近地铁,近学校,二环绕城高速之间,大户型居多,配套齐全",2.7381,27381,27381 元/m²,1.22%,7,0,2009,2026-05-29,二手房(7) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.092755,36.644188,0
济南,东城逸家逸雅园1区,2016历下,奥体中心,舜贤街,"近地铁,近学校,二环绕城高速之间,配套齐全",2.11,21100,21100 元/m²,持平,0,26,2016,2026-05-27,二手房(0) | 租房(26) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.139724,36.6534,0
济南,黄金山水郡八区(别墅),2014历下,浆水泉路,旅游路,"近地铁,近学校,二环绕城高速之间,大户型居多,别墅,配套齐全",5.4607,54607,54607 元/m²,4.43%,3,0,2014,2026-05-27,二手房(3) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.071564,36.631954,0
济南,舜耕路8-1号院,2003历下,千佛山,舜耕路8-1号,"近地铁,近学校,二环以内,配套齐全",2.12,21200,21200 元/m²,1.92%,0,4,2003,2026-05-27,二手房(0) | 租房(4) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.024536,36.641205,0
济南,洄龙小区,2009历下,旅游路,旅游路22366号,"近地铁,近学校,二环绕城高速之间,大户型居多,配套齐全",2.5986,25986,25986 元/m²,1.02%,20,14,2009,2026-05-29,二手房(20) | 租房(14) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.084107,36.63889,0
济南,黄金山水郡八区(别墅),2014历下,浆水泉路,旅游路,"近地铁,近学校,二环绕城高速之间,大户型居多,别墅,配套齐全",5.4607,54607,54607 元/m²,4.43%,3,0,2014,2026-05-27,二手房(3) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.071564,36.631954,0
济南,佛山静院,2016历下,千佛山,"千佛山南路,近舜耕路","近地铁,近学校,二环以内,大户型居多,绿化好,配套齐全",4.321,43210,43210 元/m²,持平,13,0,2016,2026-05-27,二手房(13) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.024722,36.637241,0
济南,大华紫郡四区,2023历下,全运村,龙腾路,"近地铁,近学校,二环绕城高速之间,大户型居多,次新小区",5.1247,51247,51247 元/m²,0.27%,13,0,2023,2026-05-27,二手房(13) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.107326,36.617301,0
济南,原山九号,2015历下,旅游路,"旅游路,近洪山路","近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,绿化好,配套齐全",5.4313,54313,54313 元/m²,持平,2,2,2015,2026-05-27,二手房(2) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.055974,36.660359,0
济南,银丰唐郡桂花园(别墅),2016历城,唐冶,围子山路1号,"近地铁,近学校,绕城高速以外,大户型居多,别墅",5.2725,52725,52725 元/m²,持平,4,0,2016,2026-05-27,二手房(4) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.239261,36.679241,0
济南,省中医第二宿舍,2005历下,千佛山,历山路154号,"近地铁,近学校,二环以内,小户型居多,配套齐全",2.6757,26757,26757 元/m²,2.39%,3,4,2005,2026-05-29,二手房(3) | 租房(4) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.022864,36.65569,0
济南,凤熙书院,2025历城,建筑大学,经十路与凤鸣路交汇处西北方向,"近地铁,近学校,轨交房,购物中心",6.5,65000,65000 元/m²,持平,2,0,2025,2026-05-27,二手房(2) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.186447,36.673097,0
济南,建国小经五路小区,2001市中,经四万达,建国小经五路7-46号,"近地铁,近学校,二环以内,小户型居多,配套齐全",2.7628,27628,27628 元/m²,5.27%,14,15,2001,2026-05-29,二手房(14) | 租房(15) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.195971,36.97206,0
济南,开元府,2011历下,环山路,燕子山西路50号,"近地铁,近学校,二环以内,大户型居多,配套齐全",5.2169,52169,52169 元/m²,1.04%,14,0,2011,2026-05-27,二手房(14) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.057621,36.64063,0
济南,绿城海棠映月,2024历下,盛福,杨柳路103号,"近地铁,近学校,大户型居多,次新小区",2.4321,24321,24321 元/m²,0.18%,13,10,2024,2026-05-29,二手房(13) | 租房(10) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.106477,36.704003,0
济南,大华紫郡四区,2023历下,全运村,龙腾路,"近地铁,近学校,二环绕城高速之间,大户型居多,次新小区",5.1247,51247,51247 元/m²,0.27%,13,0,2023,2026-05-27,二手房(13) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.107326,36.617301,0
济南,审计厅宿舍(历下),2009历下,浆水泉路,浆水泉路11号,"近地铁,近学校,二环绕城高速之间,大户型居多,配套齐全",3.2835,32835,32835 元/m²,0.61%,2,10,2009,2026-05-29,二手房(2) | 租房(10) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.083336,36.646608,0
济南,中海玖昌源邸(新房),2027历下,经十路历下段,历下区浆水泉路以东、和平东路以南,"近地铁,近学校,轨交房,主卧套房,卧室全朝南,学校,购物中心,大户型,厨卫全明,南北通透",5.2,52000,52000 元/m²,持平,5,0,2027,2026-05-27,二手房(5) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.132373,36.650873,0
济南,原山九号,2015历下,旅游路,"旅游路,近洪山路","近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,绿化好,配套齐全",5.4313,54313,54313 元/m²,持平,2,2,2015,2026-05-27,二手房(2) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.055974,36.660359,0
济南,燕玺台,2015历下,环山路,燕子山西路12号,"近地铁,近学校,二环以内,大户型居多,配套齐全",3.1301,31301,31301 元/m²,持平,6,2,2015,2026-05-29,二手房(6) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.057502,36.646048,0
济南,黄金山水郡(六区),2016历下,浆水泉路,浆水泉西路,"近地铁,近学校,二环绕城高速之间,大户型居多,配套齐全",2.8152,28152,28152 元/m²,0.51%,26,4,2016,2026-05-27,二手房(26) | 租房(4) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.073274,36.634434,0
济南,原山九号,2015历下,旅游路,"旅游路,近洪山路","近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,绿化好,配套齐全",5.4313,54313,54313 元/m²,持平,2,2,2015,2026-05-27,二手房(2) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.055974,36.660359,0
济南,泰禾济南院子(别墅),2020高新,汉峪,"凤凰南路,近旅游路","近地铁,近学校,二环绕城高速之间,大户型居多,别墅,绿化好",5.623,56230,56230 元/m²,9.45%,2,3,2020,2026-05-27,二手房(2) | 租房(3) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.153977,36.636351,0
济南,大华紫郡(一区别墅),2022历下,全运村,龙鼎大道,"近地铁,近学校,3号线(R3),二环绕城高速之间,大户型居多,别墅,次新小区",5.51,55100,55100 元/m²,21.37%,0,0,2022,2026-05-27,二手房(0) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.110082,36.618067,0
济南,开元府,2011历下,环山路,燕子山西路50号,"近地铁,近学校,二环以内,大户型居多,配套齐全",5.2169,52169,52169 元/m²,1.04%,14,0,2011,2026-05-27,二手房(14) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.057621,36.64063,0
济南,燕山樱园(别墅),2009历下,环山路,环山路139号,"近地铁,近学校,二环以内,别墅,绿化好,配套齐全",2.53,25300,25300 元/m²,持平,0,0,2009,2026-05-27,二手房(0) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.05966,36.640436,0
济南,经六路186号院,2003市中,大观园,经六路186号,"近地铁,近学校,二环以内,小户型居多,配套齐全",2.5991,25991,25991 元/m²,10.12%,4,0,2003,2026-05-27,二手房(4) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,116.992652,36.657392,0
济南,JFC星辰,2027历下,转山西路,经十路与转山西路交汇处以东,"近地铁,近学校,多轨交,轨交房,车位充足,主卧套房,装修交付,卧室全朝南,学校,购物中心,大户型,厨卫全明,南北通透",5.0,50000,50000 元/m²,持平,4,0,2027,2026-05-27,二手房(4) | 租房(0) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.104676,36.657476,0
枣庄,薛庄东里,市中,东湖商圈,君山中路173号,,0.56,5600,5600 元/m²,0.90%,0,1,,2026-05-27,二手房(0) | 租房(1) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.562705,34.862954,0
枣庄,雅仕园,2008市中,城北区域,振兴北路,,0.5187,5187,5187 元/m²,0.83%,0,10,2008,2026-05-27,二手房(0) | 租房(10) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.558857,34.860118,0
枣庄,汇龙大厦(商住楼),1997滕州,龙泉,府前东路,,0.62,6200,6200 元/m²,持平,0,2,1997,2026-05-27,二手房(0) | 租房(2) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.193411,35.08574,0
枣庄,滕州安居小区(别墅),滕州,龙泉,安居东街,"近地铁,近学校,别墅",1.36,13600,13600 元/m²,持平,0,1,,2026-05-27,二手房(0) | 租房(1) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.174756,35.103287,0
枣庄,丽都水岸(西区),2008滕州,北辛,"学院中路,近新兴中路",,0.685,6850,6850 元/m²,9.02%,56,7,2008,2026-05-27,二手房(56) | 租房(7) | 查看地图 | 生活配套 | 价格行情 | 小区相册 | 小区解读,117.155885,35.097115,0
